sku_id,product_name,category,stock_on_hand,reorder_point,safety_stock,unit_cost_usd,supplier_id
SKU-048,Lubricant Max 48,Packaging,369,275,75,7.03,SUP-09
SKU-049,Filter Cartridge Ultra 49,Spare Parts,441,254,67,11.58,SUP-10
SKU-050,Sensor Module Ultra 50,Electronics,275,283,84,6.65,SUP-10
SKU-051,Fastener Pack Ultra 51,Hardware,151,183,45,98.98,SUP-11
SKU-052,Fastener Pack Prime 52,Consumables,92,323,103,85.35,SUP-02
SKU-053,Carton Box Lite 53,Packaging,238,160,42,19.69,SUP-04
SKU-054,Lubricant Lite 54,Spare Parts,112,237,75,23.91,SUP-11
SKU-055,Carton Box Prime 55,Electronics,494,204,41,83.25,SUP-12
SKU-056,Fastener Pack Max 56,Hardware,184,327,73,76.21,SUP-07
SKU-057,Filter Cartridge Eco 57,Consumables,131,230,51,17.36,SUP-04
SKU-058,Cable Harness Ultra 58,Packaging,338,158,44,102.3,SUP-01
SKU-059,Gasket Ring Ultra 59,Spare Parts,26,327,107,43.39,SUP-14
SKU-060,Bearing Set Prime 60,Electronics,108,308,65,91.79,SUP-04
SKU-061,Resistor Kit Max 61,Hardware,26,120,29,86.05,SUP-03
SKU-062,Filter Cartridge Lite 62,Consumables,437,107,30,25.58,SUP-01
SKU-063,Gasket Ring Eco 63,Packaging,113,259,80,95.92,SUP-08
SKU-064,Lubricant Lite 64,Spare Parts,597,367,93,58.37,SUP-12
SKU-065,Bearing Set Lite 65,Electronics,70,102,29,79.74,SUP-12
SKU-066,Lubricant Max 66,Hardware,231,342,87,70.3,SUP-04
SKU-067,Cable Harness Max 67,Consumables,95,196,54,30.82,SUP-06
SKU-068,Gasket Ring Eco 68,Packaging,411,339,80,99.21,SUP-01
SKU-069,Gasket Ring Prime 69,Spare Parts,9,223,74,118.15,SUP-13
SKU-070,Lubricant Lite 70,Electronics,50,134,40,8.1,SUP-07
SKU-071,Bearing Set Lite 71,Hardware,59,80,25,8.13,SUP-11
SKU-072,Motor Mount Prime 72,Consumables,600,354,101,76.17,SUP-15
SKU-073,Cable Harness Ultra 73,Packaging,40,331,75,25.25,SUP-02
SKU-074,Cable Harness Max 74,Spare Parts,401,116,26,114.92,SUP-15
SKU-075,Motor Mount Ultra 75,Electronics,115,215,52,92.83,SUP-03
